;url;INTERNY;STUD;ZAM;PON;UTO;STR;STV;PIA;SOB;NED;HOD;HOD_STV
269;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
270;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
271;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
272;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
273;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
274;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
275;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
276;component;1;0;1;0;0;1;0;0;0;0;10;100.0
277;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
278;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
279;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
280;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
281;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
282;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
283;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
284;univerzita;1;0;1;0;0;1;0;0;0;0;11;121.0
285;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
286;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
287;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
288;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
289;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
290;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
291;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
292;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
293;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
294;univerzita;1;0;1;0;0;1;0;0;0;0;07;49.0
295;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
296;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
297;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
298;uvod;1;0;1;0;0;1;0;0;0;0;12;144.0
299;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
300;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
301;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
302;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
303;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
304;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
305;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
306;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
307;univerzita;1;0;1;0;0;1;0;0;0;0;10;100.0
308;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
309;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
310;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
311;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
312;uvod;1;0;1;0;0;1;0;0;0;0;12;144.0
313;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
314;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
315;images;1;0;1;0;0;1;0;0;0;0;13;169.0
316;images;1;0;1;0;0;1;0;0;0;0;13;169.0
317;images;1;0;1;0;0;1;0;0;0;0;13;169.0
318;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
319;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
320;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
321;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
322;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
323;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
324;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
325;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
326;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
327;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
328;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
329;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
330;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
331;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
332;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
333;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
334;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
335;images;1;0;1;0;0;1;0;0;0;0;13;169.0
336;images;1;0;1;0;0;1;0;0;0;0;13;169.0
337;images;1;0;1;0;0;1;0;0;0;0;13;169.0
338;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
339;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
340;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
341;images;1;0;1;0;0;1;0;0;0;0;13;169.0
342;images;1;0;1;0;0;1;0;0;0;0;13;169.0
343;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
